try_id,sigma,g_n,i,delta,kappa_min,kappa_max,kappa_star,r_star,d_star,omega_star,backbone_ok,reason
1,2.25,0.05,0.025,0.03,0.02,0.25,0.18,0.12755595243948226,-2.1400178597767017,0.7664995535055825,FALSE,d_star_negative|omega_outside_target_band
2,2.25,0.05,0.025,0.03,0.02,0.35,0.18,0.09797917927278552,-0.8090630672753485,0.7997734233181162,FALSE,d_star_negative|omega_outside_target_band
3,2.25,0.05,0.025,0.03,0.02,0.45,0.18,0.08255839520784841,-0.11512778435317839,0.8171218053911705,FALSE,d_star_negative|omega_outside_target_band
4,2.25,0.05,0.025,0.04,0.02,0.25,0.20249999999999999,0.1448673487327317,-2.4690306929729258,0.7357742326756769,FALSE,d_star_negative|omega_outside_target_band
5,2.25,0.05,0.025,0.04,0.02,0.35,0.20249999999999999,0.10709739990808907,-0.7693829958640086,0.7782654251033999,FALSE,d_star_negative|omega_outside_target_band
6,2.25,0.05,0.025,0.04,0.02,0.45,0.20249999999999999,0.08984465303379338,0.006990613479297414,0.7976747653369824,FALSE,omega_outside_target_band
7,2.25,0.05,0.025,0.05,0.02,0.25,0.225,0.17013780514234028,-3.1562012314053125,0.6960949692148672,FALSE,d_star_negative
8,2.25,0.05,0.025,0.05,0.02,0.35,0.225,0.11648987472787026,-0.7420443627541612,0.7564488909311459,FALSE,d_star_negative|omega_outside_target_band
9,2.25,0.05,0.025,0.05,0.02,0.45,0.225,0.09689698589779962,0.1396356345990174,0.7784908908649755,FALSE,omega_outside_target_band
10,2.25,0.05,0.025,0.06,0.02,0.25,0.2475,0.2503619835505615,-6.316289259775268,0.5945927685056183,FALSE,d_star_negative|omega_outside_target_band
11,2.25,0.05,0.025,0.06,0.02,0.35,0.2475,0.12657624799375142,-0.7459311597188134,0.7338517210070297,FALSE,d_star_negative|omega_outside_target_band
12,2.25,0.05,0.025,0.06,0.02,0.45,0.2475,0.10388034506148039,0.2753844722333826,0.7593846118058346,FALSE,omega_outside_target_band
13,2.25,0.05,0.030000000000000002,0.03,0.02,0.25,0.18,0.12755595243948226,-2.1400178597767017,0.7771996428044661,FALSE,d_star_negative|omega_outside_target_band
14,2.25,0.05,0.030000000000000002,0.03,0.02,0.35,0.18,0.09797917927278552,-0.8090630672753485,0.803818738654493,FALSE,d_star_negative|omega_outside_target_band
15,2.25,0.05,0.030000000000000002,0.03,0.02,0.45,0.18,0.08255839520784841,-0.11512778435317839,0.81769744431293645,FALSE,d_star_negative|omega_outside_target_band
16,2.25,0.05,0.030000000000000002,0.04,0.02,0.25,0.20249999999999999,0.1448673487327317,-2.4690306929729258,0.7481193861405415,FALSE,d_star_negative|omega_outside_target_band
17,2.25,0.05,0.030000000000000002,0.04,0.02,0.35,0.20249999999999999,0.10709739990808907,-0.7693829958640086,0.7821123400827198,FALSE,d_star_negative|omega_outside_target_band
18,2.25,0.05,0.030000000000000002,0.04,0.02,0.45,0.20249999999999999,0.08984465303379338,0.006990613479297414,0.797639812269586,FALSE,omega_outside_target_band
19,2.25,0.05,0.030000000000000002,0.05,0.02,0.25,0.225,0.17013780514234028,-3.1562012314053125,0.7118759753718937,FALSE,d_star_negative|omega_outside_target_band
20,2.25,0.05,0.030000000000000002,0.05,0.02,0.35,0.225,0.11648987472787026,-0.7420443627541612,0.7601591127449169,FALSE,d_star_negative|omega_outside_target_band
21,2.25,0.05,0.030000000000000002,0.05,0.02,0.45,0.225,0.09689698589779962,0.1396356345990174,0.7777927126919804,FALSE,omega_outside_target_band
22,2.25,0.05,0.030000000000000002,0.06,0.02,0.25,0.2475,0.2503619835505615,-6.316289259775268,0.6261742148044946,FALSE,d_star_negative
23,2.25,0.05,0.030000000000000002,0.06,0.02,0.35,0.2475,0.12657624799375142,-0.7459311597188134,0.7375813768056239,FALSE,d_star_negative|omega_outside_target_band
24,2.25,0.05,0.030000000000000002,0.06,0.02,0.45,0.2475,0.10388034506148039,0.2753844722333826,0.7580076894446677,FALSE,omega_outside_target_band
25,2.25,0.05,0.035,0.03,0.02,0.25,0.18,0.12755595243948226,-2.1400178597767017,0.7878997321033496,FALSE,d_star_negative|omega_outside_target_band
26,2.25,0.05,0.035,0.03,0.02,0.35,0.18,0.09797917927278552,-0.8090630672753485,0.8078640539908697,FALSE,d_star_negative|omega_outside_target_band
27,2.25,0.05,0.035,0.03,0.02,0.45,0.18,0.08255839520784841,-0.11512778435317839,0.8182730832347024,FALSE,d_star_negative|omega_outside_target_band
28,2.25,0.05,0.035,0.04,0.02,0.25,0.20249999999999999,0.1448673487327317,-2.4690306929729258,0.7604645396054062,FALSE,d_star_negative|omega_outside_target_band
29,2.25,0.05,0.035,0.04,0.02,0.35,0.20249999999999999,0.10709739990808907,-0.7693829958640086,0.7859592550620399,FALSE,d_star_negative|omega_outside_target_band
30,2.25,0.05,0.035,0.04,0.02,0.45,0.20249999999999999,0.08984465303379338,0.006990613479297414,0.7976048592021895,FALSE,omega_outside_target_band
31,2.25,0.05,0.035,0.05,0.02,0.25,0.225,0.17013780514234028,-3.1562012314053125,0.7276569815289202,FALSE,d_star_negative|omega_outside_target_band
32,2.25,0.05,0.035,0.05,0.02,0.35,0.225,0.11648987472787026,-0.7420443627541612,0.7638693345586877,FALSE,d_star_negative|omega_outside_target_band
33,2.25,0.05,0.035,0.05,0.02,0.45,0.225,0.09689698589779962,0.1396356345990174,0.7770945345189852,FALSE,omega_outside_target_band
34,2.25,0.05,0.035,0.06,0.02,0.25,0.2475,0.2503619835505615,-6.316289259775268,0.657755661103371,FALSE,d_star_negative
35,2.25,0.05,0.035,0.06,0.02,0.35,0.2475,0.12657624799375142,-0.7459311597188134,0.7413110326042178,FALSE,d_star_negative|omega_outside_target_band
36,2.25,0.05,0.035,0.06,0.02,0.45,0.2475,0.10388034506148039,0.2753844722333826,0.7566307670835007,FALSE,omega_outside_target_band
37,2.25,0.05,0.04,0.03,0.02,0.25,0.18,0.12755595243948226,-2.1400178597767017,0.798599821402233,FALSE,d_star_negative|omega_outside_target_band
38,2.25,0.05,0.04,0.03,0.02,0.35,0.18,0.09797917927278552,-0.8090630672753485,0.8119093693272466,FALSE,d_star_negative|omega_outside_target_band
39,2.25,0.05,0.04,0.03,0.02,0.45,0.18,0.08255839520784841,-0.11512778435317839,0.8188487221564683,FALSE,d_star_negative|omega_outside_target_band
