sigma,psi,rF,rF_tilde,rF_eff,phi2,phi1,feasible,reason,r_star,d_star,omega_star,e_star,f_star,Z_star,maxReEig,maxImEig,a1,a2,a3,H
2,0,0.03,-0,0.03,0.5,0.5520615998149492,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,0.8364661369833462,0.9978758076521044,-0.029422963596804224,0.6077945613526571,0.14158565200549073,0.3758595046756031,0.010961800074349137,0.04225451295760691
2,0,0.03,-0,0.03,0.55,0.6051401002219761,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9399999999999998,0.8364661369833462,0.9978758076521044,-0.02942935779188749,0.6357979382201415,0.15673496429057374,0.41203721984904573,0.012015733022960518,0.052564905916466946
2,0,0.03,-0,0.03,0.6,0.6582186006290028,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,0.8364661369833462,0.9978758076521044,-0.029434728045707317,0.6625322655027297,0.1718842765756567,0.44821493502248844,0.013069665971571911,0.06397143388517348
2,0,0.03,-0,0.03,0.65,0.7112971010360297,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9399999999999998,0.8364661369833462,0.9978758076521044,-0.029439302082815123,0.6881454748631929,0.1870335888607397,0.4843926501959311,0.014123598920183297,0.07647409686372658
2,0,0.03,-0,0.03,0.7,0.7643756014430565,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,0.8364661369833462,0.9978758076521044,-0.029443244759714923,0.7127584458739095,0.20218290114582266,0.5205703653693736,0.015177531868794667,0.09007289485212618
2,0,0.03,-0,0.03,0.75,0.8174541018500834,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,0.8364661369833462,0.9978758076521044,-0.029446678359411945,0.7364714740238788,0.21733221343090564,0.5567480805428164,0.016231464817406057,0.10476782785037236
2,0,0.03,-0,0.03,0.8,0.8705326022571102,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,0.8364661369833462,0.9978758076521044,-0.029449695501095007,0.7593688755271042,0.23248152571598865,0.592925795716259,0.017285397766017438,0.12055889585846506
2,0,0.03,-0,0.03,0.8500000000000001,0.9236111026641372,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,0.8364661369833462,0.9978758076521044,-0.029452367620819753,0.7815223458985341,0.24763083800107163,0.6291035108897017,0.01833933071462883,0.1374460988764043
2,0,0.03,-0,0.03,0.9,0.9766896030711638,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,0.8364661369833462,0.9978758076521044,-0.029454750700052348,0.8029934614075893,0.2627801502861546,0.6652812260631443,0.01939326366324021,0.15542943690419003
2,0,0.033,-0,0.033,0.5,0.5525279955872492,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9399999999999998,0.9431129359014856,0.9987526317040284,-0.029620242421552145,0.6078703922811212,0.08909250615339354,0.3721522342194473,0.010971060883674015,0.022184914333521252
2,0,0.033,-0,0.033,0.55,0.605653135571506,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,0.9431129359014856,0.9987526317040284,-0.029627489804439747,0.6361613276577408,0.0989925038532668,0.40795922234727455,0.012025919913217893,0.02835898497697041
2,0,0.033,-0,0.033,0.6,0.6587782755557628,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,0.9431129359014856,0.9987526317040284,-0.029633576797559343,0.663209612983039,0.10889250155314006,0.4437662104751017,0.013080778942761762,0.035242033820629334
2,0,0.033,-0,0.033,0.65,0.7119034155400197,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,0.9431129359014856,0.9987526317040284,-0.029638761435413472,0.6891615884500278,0.1187924992530133,0.47957319860292874,0.014135637972305631,0.04283406086449798
2,0,0.033,-0,0.033,0.7,0.7650285555242765,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,0.9431129359014856,0.9987526317040284,-0.02964323052598461,0.7141367916566875,0.12869249695288656,0.5153801867307558,0.0151904970018495,0.05113506610857639
2,0,0.033,-0,0.033,0.75,0.8181536955085333,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,0.9431129359014856,0.9987526317040284,-0.029647122640741045,0.7382343696501077,0.13859249465275983,0.5511871748585829,0.01624535603139338,0.06014504955286458
2,0,0.033,-0,0.033,0.8,0.8712788354927903,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,0.9431129359014856,0.9987526317040284,-0.029650542739876214,0.7615376434774495,0.1484924923526331,0.58699416298641,0.01730021506093726,0.06986401119736249
2,0,0.033,-0,0.033,0.8500000000000001,0.9244039754770471,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,0.9431129359014856,0.9987526317040284,-0.029653571780513813,0.7841174370531828,0.15839249005250636,0.6228011511142373,0.018355074090481125,0.08029195104207022
2,0,0.033,-0,0.033,0.9,0.9775291154613038,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,0.9431129359014856,0.9987526317040284,-0.029656273207185183,0.8060345562016843,0.1682924877523796,0.6586081392420641,0.019409933120024994,0.0914288690869876
2,0,0.036,-0,0.036,0.5,0.5528275949993599,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9399999999999998,1.063356865912706,0.9993158785987964,-0.010357993352981508,0.6073695083135988,0.05046357694760764,0.36962125833938353,0.010977009764847875,0.007675401046833168
2,0,0.036,-0,0.036,0.55,0.6059826949248278,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.063356865912706,0.9993158785987964,-0.013372647171110197,0.6357676498477813,0.05650068172690232,0.40517514887920436,0.012032463682509136,0.010860208447965054
2,0,0.036,-0,0.036,0.6,0.6591377948502957,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9399999999999998,1.063356865912706,0.9993158785987964,-0.01638792514660249,0.6629366504898199,0.06253778650619699,0.44072903941902497,0.013087917600170392,0.014474300974097866
2,0,0.036,-0,0.036,0.65,0.7122928947757636,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.063356865912706,0.9993158785987964,-0.01940368849629029,0.6890219355595929,0.06857489128549166,0.47628292995884575,0.014143371517831653,0.018517678625231633
2,0,0.036,-0,0.036,0.7,0.7654479947012314,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9400000000000001,1.063356865912706,0.9993158785987964,-0.02241983674346608,0.7141422758776603,0.07461199606478633,0.5118368204986664,0.015198825435492913,0.022990341401366333
