phi1,lambda,ok,reason,a1,a2,a3,H,feasible_RH,hopf_band
0.03,5,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,6.043165467625899,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,7.086330935251798,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,8.129496402877699,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,9.172661870503596,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,10.215827338129497,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,11.258992805755396,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,12.302158273381295,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,13.345323741007194,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,14.388489208633093,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,15.431654676258992,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,16.47482014388489,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,17.51798561151079,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,18.561151079136692,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,19.60431654676259,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,20.647482014388487,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,21.690647482014388,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,22.73381294964029,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,23.776978417266186,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,24.820143884892087,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,25.863309352517984,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,26.906474820143885,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,27.949640287769782,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,28.992805755395683,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,30.035971223021583,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,31.07913669064748,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,32.122302158273385,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,33.16546762589928,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,34.20863309352518,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,35.25179856115108,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,36.294964028776974,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,37.33812949640288,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,38.381294964028775,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,39.42446043165467,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,40.46762589928058,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,41.510791366906474,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,42.55395683453237,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,43.59712230215827,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,44.64028776978417,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,45.68345323741007,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,46.72661870503597,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,47.76978417266187,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,48.81294964028777,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,49.856115107913666,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,50.899280575539564,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,51.94244604316547,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,52.985611510791365,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,54.02877697841726,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,55.07194244604317,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,56.115107913669064,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,57.15827338129496,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,58.20143884892086,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,59.24460431654676,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,60.28776978417266,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,61.33093525179856,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,62.374100719424455,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,63.41726618705036,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,64.46043165467626,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,65.50359712230215,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,66.54676258992805,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,67.58992805755395,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,68.63309352517985,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,69.67625899280576,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,70.71942446043165,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,71.76258992805755,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,72.80575539568345,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,73.84892086330935,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,74.89208633093524,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,75.93525179856115,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,76.97841726618705,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,78.02158273381295,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,79.06474820143885,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,80.10791366906474,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,81.15107913669064,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,82.19424460431654,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,83.23741007194245,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,84.28057553956835,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,85.32374100719424,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,86.36690647482014,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,87.41007194244604,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,88.45323741007194,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,89.49640287769783,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,90.53956834532374,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,91.58273381294964,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,92.62589928057554,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,93.66906474820144,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,94.71223021582733,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,95.75539568345323,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,96.79856115107913,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,97.84172661870504,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,98.88489208633094,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,99.92805755395683,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03,100.97122302158273,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
