time,e,omega,d,p,xi,gY,pi,i_rate,lambda_t,r0_t,debt_stress
0,0.82,0.8,1,1,2,0.02,0.2,0,58.8,0.04,0
0.05,0.819992736910168,0.800880469514356,0.996760740584569,0.999986875159902,1.99500560562042,0.00964567851117037,0.199119530485644,-0.000176093902871252,58.8,0.04,0
0.1,0.819628169338328,0.801761215568994,0.99396009953533,0.999947634601929,1.99002252186055,0.005,0.198238784431006,-0.000352243113798736,58.8,0.04,0
0.15,0.81921845769004,0.802641323713361,0.991217455714759,0.99988263470846,1.98505101485883,0.005,0.197358676286639,-0.000528264742672292,58.8,0.04,0
0.2,0.818808950845006,0.8035207522724,0.988477696583546,0.999792227083837,1.98009134335806,0.005,0.1964792477276,-0.000704150454480051,58.8,0.04,0
0.25,0.818399648704527,0.80439949784769,0.985740819804799,0.999676742247732,1.97514374474613,0.005,0.19560050215231,-0.000879899569537927,58.8,0.04,0
0.3,0.817990551163085,0.805277556806621,0.983006822870824,0.999536531242176,1.97020846506244,0.005,0.194722443193379,-0.00105551136132416,58.8,0.04,0
0.35,0.817581658119286,0.806154925659527,0.980275703361831,0.999371928942131,1.96528573244608,0.005,0.193845074340473,-0.00123098513190537,58.8,0.04,0
0.4,0.817172969470903,0.807031600889053,0.977547458829405,0.999183270783332,1.96037576984314,0.005,0.192968399110947,-0.00140632017781063,58.8,0.04,0
0.45,0.816764485115766,0.807907578980668,0.974822086816579,0.998970889525745,1.95547879233035,0.005,0.192092421019332,-0.00158151579613368,58.8,0.04,0
0.5,0.816356204951754,0.808782856422644,0.972099584858004,0.998735115263933,1.95059500742294,0.005,0.191217143577356,-0.0017565712845287,58.8,0.04,0
0.55,0.815948128876799,0.809657429705889,0.969379950480528,0.998476275563556,1.94572461575022,0.005,0.190342570294111,-0.0019314859411779,58.8,0.04,0
0.6,0.81554025678888,0.810531295324111,0.966663181202815,0.998194695303765,1.94086781083011,0.005,0.189468704675889,-0.00210625906482223,58.8,0.04,0
0.65,0.815132588586029,0.811404449773831,0.963949274535357,0.997890696646408,1.9360247792174,0.005,0.188595550226169,-0.0022808899547662,58.8,0.04,0
0.7,0.81472512416633,0.812276889554406,0.961238227980516,0.997564599012848,1.93119570067452,0.005,0.187723110445594,-0.00245537791088116,58.8,0.04,0
0.75,0.814317863427916,0.813148611168052,0.958530039032532,0.997216719054412,1.92638074831394,0.005,0.186851388831948,-0.00262972223361042,58.8,0.04,0
0.8,0.813910806268972,0.814019611119872,0.95582470517753,0.996847370627664,1.92158008872873,0.005,0.185980388880128,-0.00280392222397441,58.8,0.04,0
0.85,0.813503952587734,0.814889885917878,0.953122223893533,0.996456864770008,1.91679388212988,0.005,0.185110114082122,-0.00297797718357565,58.8,0.04,0
0.9,0.813097302282488,0.81575943207302,0.950422592650467,0.996045509677412,1.91202228248262,0.005,0.18424056792698,-0.00315188641460391,58.8,0.04,0
0.95,0.812690855251572,0.816628246099207,0.947725808910173,0.995613610684957,1.90726543763824,0.005,0.183371753900793,-0.00332564921984149,58.8,0.04,0
1,0.812284611393374,0.817496324513341,0.945031870126418,0.995161470249361,1.90252348946479,0.005,0.182503675486659,-0.00349926490266815,58.8,0.04,0
1.05,0.811878570606334,0.818363663835331,0.9423407737449,0.994689387933532,1.897796573976,0.005,0.181636336164669,-0.00367273276706621,58.8,0.04,0
1.1,0.81147273278894,0.819230260588129,0.939652517203261,0.994197660393083,1.89308482145857,0.005,0.180769739411871,-0.00384605211762581,58.8,0.04,0
1.15,0.811067097839734,0.820096111297749,0.936967097931097,0.99368658136476,1.88838835659758,0.005,0.179903888702251,-0.00401922225954975,58.8,0.04,0
1.2,0.810661665657306,0.820961212493294,0.934284513349965,0.993156441656697,1.88370729860018,0.005,0.179038787506706,-0.00419224249865874,58.8,0.04,0
1.25,0.810256436140299,0.821825560706982,0.931604760873395,0.992607529140451,1.87904176131742,0.005,0.178174439293018,-0.00436511214139637,58.8,0.04,0
1.3,0.809851409187405,0.822689152474171,0.928927837906898,0.992040128744732,1.8743918533644,0.005,0.177310847525829,-0.00453783049483428,58.8,0.04,0
1.35,0.809446584697368,0.823551984333385,0.92625374184798,0.991454522450786,1.86975767823848,0.005,0.176448015666615,-0.00471039686667707,58.8,0.04,0
1.4,0.809041962568981,0.824414052826337,0.923582470086144,0.990850989289348,1.86513933443583,0.005,0.175585947173663,-0.00488281056526746,58.8,0.04,0
1.45,0.808637542701088,0.825275354497956,0.92091402000291,0.990229805339128,1.8605369155661,0.005,0.174724645502044,-0.00505507089959126,58.8,0.04,0
1.5,0.808233324992586,0.826135885896412,0.918248388971817,0.989591243726748,1.85595051046531,0.005,0.173864114103588,-0.00522717717928244,58.8,0.04,0
1.55,0.807829309342419,0.826995643573141,0.915585574358437,0.988935574628085,1.85138020330698,0.005,0.173004356426859,-0.00539912871462814,58.8,0.04,0
